AGILITY	Agility	AGILITYROAD	Agility Road	SE	*
AHOLATRANS	Ahola Transport	AHOLATRANSSG	Ahola Transport Styckegods	AX, CZ, DK, EE, FI, HU, LT, LV, NO, PL, RO, SE, SK	AX, CZ, DK, EE, FI, HU, LT, LV, NO, PL, RO, SE, SK
AIHKI	Aihkisalo	AIHKISTD	Aihkisalo kappaletavara	FI	FI
AIRMEE	Airmee	AIRMEE	Airmee	SE	SE
AKKA	AkkaFRAKT	AKKADIST	AkkaFRAKT Distribution	SE	*
AKKA	AkkaFRAKT	AKKAKRAN	AkkaFRAKT Kran	SE	*
ALFTA	Alfta Frakt	ALFTAGODS	Alfta Frakt Gods	SE	SE
ALFTA	Alfta Frakt	ALFTAPAKET	Alfta Frakt Paket	SE	SE
ASENDIA	Asendia	ASNCT	Asendia Country-tracked	DK, EE, FI, LT, LV, NO, SE	*
ASENDIA	Asendia	ASNFT	Asendia Fully-tracked	DK, EE, FI, LT, LV, NO, SE	AL, AT, AU, BE, BG, BR, CA, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HK, HR, HU, IE, IL, IN, IS, IT, JP, KH, KR, LB, LT, LU, LV, MC, MT, MY, NL, NO, NZ, PL, PT, RO, RS, RU, SA, SE, SG, SI, SK, TH, TR, TW, US, UY
ASENDIA	Asendia	ASNPR	Asendia Premium	DK, EE, FI, LT, LV, NO, SE	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK
BCDK	Bring Cargo Danmark	BCDKGRP	Bring Cargo Danmark Groupage	DK	*
BCDK	Bring Cargo Danmark	BCDKPART	Bring Cargo Danmark Part Load	DK	*
BCMSE	Bring Citymail	BCMSEBLP	Bring Citymail Brevlådepaket	SE	SE
BCMSE	Bring Citymail	BCMSEBLPE	Bring Citymail Brevlådepaket Express	SE	SE
BCNOINT	Bring Cargo Norge (International)	BCNOINTFULL	Bring Cargo Full Load	NO	*
BCNOINT	Bring Cargo Norge (International)	BCNOINTGRP	Bring Cargo Stykkgods	NO	*
BCSE	Bring Cargo International AB	BCSEP	Bring Cargo International Partigods (14)	SE	*
BCSE	Bring Cargo International AB	BCSES	Bring Cargo International Styckegods (9)	SE	*
BCSED	Bring Cargo Sverige (inrikes)	BCSEDSTD	Bring Cargo Inrikes (SE)	SE	SE
BEST	Best Transport	BESTDIST	Best Distribution	DK, NO, SE	*
BEST	Best Transport	BESTHL	Best Hemleverans 18:00-22:00	SE	SE
BEST	Best Transport	BESTHLD	Best Hemleverans dag 08:00-17:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLM	Best Hemleverans förmiddag 09:00-13:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLE1820	Best Hemleverans kväll 18:00-20:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLE	Best Hemleverans kväll 18:00-22:00 Flex	DK, NO, SE	*
BEST	Best Transport	BESTHLE2022	Best Hemleverans kväll 20:00-22:00 Flex	DK, NO, SE	*
BL	Bring Cargo Norge (Inrikes)	BLFULL	Bring Cargo Full Load	NO	NO
BL	Bring Cargo Norge (Inrikes)	BLSGD	Bring Cargo Stykkgods	NO	NO
BM	Bring Mail (Norge)	BMNOSPPR	Bring Mail Brev med frankopåtrykk	NO	*
BM	Bring Mail (Norge)	BMNOPIPAR	Bring Mail Pakke i postkassen med sporing	NO	NO
BM	Bring Mail (Norge)	BMNOPIPA	Bring Mail Pakke i postkassen uten sporing	NO	NO
BOX	Bring Express	BOXBD	Bring Express Business Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXBDP	Bring Express Business Distribution Pallet	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCD	Bring Express Courier Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCA	Bring Express Courier Service by car	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHD	Bring Express Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHDIL	Bring Express Home Delivery Indoor Light	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHDR	Bring Express Home Delivery Return	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXPL	Bring Express Pickup Large	NO, SE	NO, SE
BOX	Bring Express	BOXQPDC	Bring Express QuickPack Day Certain	DK, NO, SE	*
BOX	Bring Express	BOXQPEE	Bring Express QuickPack Express Economy	DK, NO, SE	*
BOX	Bring Express	BOXQP09	Bring Express QuickPack Overnight 09.00	DK, NO, SE	*
BOX	Bring Express	BOXQP12	Bring Express QuickPack Overnight 12.00	DK, NO, SE	*
BOX	Bring Express	BOXQP	Bring Express QuickPack Same Day	DK, NO, SE	*
BOX	Bring Express	BOXSHD	Bring Express Store Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXSHDR	Bring Express Store Home Delivery Return 	DK, NO, SE	DK, NO, SE
BP	Bring Parcels Norge (inrikes)	BPBDD	Bring Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPBE09	Bring Bedriftspakke Ekspress over natt - 0900	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSP	Bring Klimanøytral Servicepakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPPD	Bring Pakke på Døren	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPRETB	Bring Returservice Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSPR	Bring Returservice Servicepakke	NO	NO, SJ
BUDBEE	Budbee	BUDBEESTD	Budbee	SE	SE
BUDBEE	Budbee	BUDBEEEXPRESS	Budbee Express Delivery	SE	SE
BUDBEE	Budbee	BUDBEEDLVDAY	Budbee Hemleverans Dagtid	SE	SE
BUDBEE	Budbee	BUDBEEDLVEVN	Budbee Hemleverans Kvällstid	SE	SE
BUDETT	Budcompaniett	BUDETT3TIM	Budcompaniet 3 timmars bud	SE	SE
BUDETT	Budcompaniett	BUDETTPANIK	Budcompaniet Panikbud	SE	SE
BUDETT	Budcompaniett	BUDETTTUR	Budcompaniet Turbud	SE	SE
CG	Bussgods	CGB	Bussgods	SE	FI, SE
COCA	ColliCare	COCA11	ColliCare Groupage	NO, SE	NO
COCA	ColliCare	COCA501	ColliCare Hemleverans dag	NO, SE	NO
COCA	ColliCare	COCA502	ColliCare Hemleverans kväll	NO, SE	NO
COCA	ColliCare	COCA520	ColliCare Retur	NO, SE	NO
DABBE	DHL Express Break Bulk Express (BBE)	DABBE	DHL Express Break Bulk Express (BBE)
DABBX	DHL Express Break Bulk Express (BBX)	DABBX	DHL Express Break Bulk Express (BBX)
DACHSER	Dachser	DACTFIX	Dachser Targofix	DK, PL, SE	*
DACHSER	Dachser	DACTFIX10	Dachser Targofix 10:00	DK, PL, SE	*
DACHSER	Dachser	DACTFIX12	Dachser Targofix 12:00	DK, PL, SE	*
DACHSER	Dachser	DACTFLEX	Dachser Targoflex	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED	Dachser Targospeed	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED10	Dachser Targospeed 10:00	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED12	Dachser Targospeed 12:00	DK, PL, SE	*
DACHSER	Dachser	DACTSPEEDPLUS	Dachser Targospeed Plus	DK, PL, SE	*
DANX	DANX	DANXAIR	DANX Air	*	*
DANX	DANX	DANXSTD	DANX Road	*	*
DEPOST	Deutsche Post	DEPOSTPLUSWAREN	Deutsche Post - Packet Plus - Warensendung	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK	DE
DEPOST	Deutsche Post	DEPOSTPLUSEU	Deutsche Post - Packet Plus Destination EU	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK	AT, BE, BG, CY, CZ, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DEPOST	Deutsche Post	DEPOSTPLUSNONEU	Deutsche Post - Packet Plus Destination Non-EU	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK	*
DEPOST	Deutsche Post	DEPOSTPLUSNONEUPRINT	Deutsche Post - Packet Plus Destination Non-EU for PRINTED MATTER	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK	*
DEPOST	Deutsche Post	DEPOSTPLUSDE	Deutsche Post - Packet Plus Germany	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK	DE
DEPOST	Deutsche Post	DEPOSTPT	Deutsche Post - Packet Tracked	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK	AT, AU, AW, BE, BG, BR, CA, CH, CN, CY, CZ, DE, DK, DO, EE, ES, FI, FR, GB, GI, GR, HK, HR, HU, IE, IL, IS, IT, JE, JP, KR, LB, LT, LU, LV, MC, MT, MU, MX, MY, NL, NO, NZ, PL, PT, RO, RS, RU, SA, SE, SG, SI, SK, TH, TR, US, ZA
DFM	Danske Fragtmænd	DFMBP	Danske Fragtmænd Bilpakke	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMEP	Danske Fragtmænd Erhvervsbilpakke	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMPE	Danske Fragtmænd Palle/enhedsforsendelse	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMSG	Danske Fragtmænd Styckegods	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMVP	Danske Fragtmænd Volumepakke	DK, SE	DE, DK, SE
DGF	DHL Global Forwarding	DGFAIR	DHL Global Forwarding Air Freight	*	*
DGF	DHL Global Forwarding	DGFAIRPLUS	DHL Global Forwarding Air Freight PLUS	*	*
DHLAIR	DHL Express	DADOK	DHL Express 09:00 (Inrikes)	DK, EE, SE	DK, EE, SE
DHLAIR	DHL Express	DASE	DHL Express 09:00 (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DASECD	DHL Express 09:00 (Tullpliktigt)	DK, EE, FI, NO, SE	*
DHLAIR	DHL Express	DATDL	DHL Express 10:30 (Tullfri)	DK, EE, FI, SE	US
DHLAIR	DHL Express	DATDM	DHL Express 10:30 (Tullpliktigt)	DK, EE, FI, SE	US
DHLAIR	DHL Express	DADOT	DHL Express 12:00 (Inrikes)	DK, EE, SE	DK, EE, SE
DHLAIR	DHL Express	DAME	DHL Express 12:00 (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DAMECD	DHL Express 12:00 (Tullpliktigt)	DK, EE, FI, NO, SE	*
DHLAIR	DHL Express	DAESU	DHL Express Economy Select (Tullfri)	EE, FI, SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DAESI	DHL Express Economy Select (Tullpliktigt)	EE, FI, NO, SE	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, NL, NO, PL, PT, RO, SE, SI, SK, SM
DHLAIR	DHL Express	DAXPD	DHL Express Envelope (Tullfri)	DK, EE, FI, NO, SE	*
DHLAIR	DHL Express	DADOM	DHL Express Worldwide (Inrikes)	DK, EE, FI, NO, SE	DK, EE, FI, NO, SE
DHLAIR	DHL Express	DAECX	DHL Express Worldwide (Tullfri inom EU)	DK, EE, FI, PL, SE	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DADOX	DHL Express Worldwide (Tullfri, ej EU)	DK, EE, FI, PL, SE	*
DHLAIR	DHL Express	DAWPX	DHL Express Worldwide (Tullpliktigt)	DK, EE, FI, NO, PL, SE	*
DHLAIR	DHL Express	DADOMR	DHL Express Worldwide Return (Domestic)	DK, EE, FI, NO, SE	DK, EE, FI, NO, SE
DHLAIRRETURN	DHL Express Return International	DAESUR	DHL Express Economy Select Return (Tullfri)	EE, FI, SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
DHLAIRRETURN	DHL Express Return International	DAESIR	DHL Express Economy Select Return (Tullpliktigt)	EE, FI, NO, SE	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, NL, NO, PL, PT, RO, SE, SI, SK, SM
DHLAIRRETURN	DHL Express Return International	DAECXR	DHL Express International Return (Duty free within EU)	DK, EE, FI, PL, SE	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DHLDE	DHL Tyskland	DHLDEPKT	DHL Tyskland Paket	DE	DE
DHLDE	DHL Tyskland	DHLDEPKTI	DHL Tyskland Paket International	DE	AE, AR, AT, AU, BE, BG, BR, CA, CH, CN, CY, CZ, DK, EE, ES, FI, FR, GB, GR, HK, HR, HU, IE, IL, IT, JP, KR, LT, LU, LV, MC, MT, MX, NL, NO, NZ, PA, PL, PT, RO, SE, SG, SI, SK, TH, TW, US, ZA
DHLDE	DHL Tyskland	DHLDEPKTR	DHL Tyskland Paket Return 	DE	DE
DHLEC	DHL Freight Euroconnect	ASUR	DHL Eurapid	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FR, GB, HU, IE, IT, LT, LV, NL, NO, PL, PT, SE, SK	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FR, GB, HU, IE, IT, LT, LV, NL, NO, PL, PT, SE, SK
DHLEC	DHL Freight Euroconnect	ASU2	DHL Euroconnect	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GE, GI, GR, HR, HU, IE, IT, LT, LU, LV, MA, MC, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GE, GI, GR, HR, HU, IE, IT, LT, LU, LV, MA, MC, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA
DHLEC	DHL Freight Euroconnect	ASUN	DHL Nordic Pallet	SE	DK, EE, FI, LT, LV, NO
DHLECP	DHL Freight Euroconnect Plus (kräver 8-ställigt kundnummer som inleds med 8480)	ASUP2	DHL Euroconnect Plus	SE	AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, SI, SK
DHLFREIGHTEST	DHL Freight Estland	DHLFREIGHTESTDOM	DHL Freight Domestic EE	EE	EE
DHLFREIGHTEST	DHL Freight Estland	DHLFREIGHTESTEC	DHL Freight Euroconnect EE	EE	AT, BA, BE, BG, BY, CH, CY, CZ, DE, DK, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MK, NL, NO, PL, PT, RO, RU, SE, SI, SK, TR, UA
DHLFREIGHTFI	DHL Freight Finland	DHLFREIGHTFIER	DHL Freight Eurapid FI	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FR, GB, HU, IR, IT, LT, LV, NL, NO, PL, PT, SE, SK	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FR, GB, HU, IR, IT, LT, LV, NL, NO, PL, PT, SE, SK
DHLFREIGHTFI	DHL Freight Finland	DHLFREIGHTFIEC	DHL Freight Euroconnect FI	AX, FI	AT, BA, BE, BG, BY, CH, CY, CZ, DE, DK, EE, ES, FR, GB, GE, GR, HR, HU, IE, IT, LT, LU, LV, MD, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA
DHLFREIGHTFI	DHL Freight Finland	DHLFREIGHTFIKT	DHL Freight Kotimaa	AX, FI	AX, FI
DHLROAD	DHL Freight	ASWH2	DHL Home Delivery	SE	SE
DHLROAD	DHL Freight	ASWHR2	DHL Home Delivery Return	SE	SE
DHLROAD	DHL Freight	AEX	DHL Paket	SE	SE
DHLROAD	DHL Freight	AEXI	DHL Paket	SE	DK, EE, FI, LT, LV, NO, SJ
DHLROAD	DHL Freight	ASP2	DHL Pall	SE	SE
DHLROAD	DHL Freight	APC	DHL Parcel Connect	SE	AT, BE, BG, CZ, DE, EE, ES, FI, HR, HU, IE, LT, LU, LV, NL, NO, PL, PT, RO, SI, SJ, SK
DHLROAD	DHL Freight	APCS	DHL Parcel Connect (via Ombud)	SE	AT, BE, BG, CZ, DE, DK, EE, ES, FR, HR, HU, IE, LT, LV, NL, PL, PT, RO, SI, SK
DHLROAD	DHL Freight	APCR	DHL Parcel Return Connect	SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, HR, HU, IE, LT, LU, LV, NL, NO, PL, PT, RO, SI, SJ, SK
DHLROAD	DHL Freight	ASWP2	DHL Parti	SE	SE
DHLROAD	DHL Freight	ASPO	DHL Service Point	SE	SE
DHLROAD	DHL Freight	ASPOR	DHL Service Point Retur	SE	SE
DHLROAD	DHL Freight	ASWS2	DHL Stycke	SE	SE
DHLROAD	DHL Freight	ASWP	DHL Swednet Partigods	SE	SE
DHLROAD	DHL Freight	ASWS	DHL Swednet Styckegods	SE	SE
DHLSPCOD	DHL Freight ServicePoint Efterkrav	ASPOC	DHL Service Point C.O.D.	SE	SE
DL	Direct Link	DLBMAIL	Direct Link Business Mail	*	*
DL	Direct Link	DLBMAILPLUS	Direct Link Business Mail Plus	*	*
DL	Direct Link	DLBMAILEXP	Direct Link Business Mail Plus Express	*	*
DL	Direct Link	DLBPARCEL	Direct Link Business Mail Plus Parcel	*	*
DL	Direct Link	DLBMAILRETURN	Direct Link Business Mail Return	*	*
DL	Direct Link	DLMAIL	Direct Link Merchandise Mail	*	*
DL	Direct Link	DLMAILPLUS	Direct Link Merchandise Mail Plus	*	*
DL	Direct Link	DLMAILEXP	Direct Link Merchandise Mail Plus Express	*	*
DL	Direct Link	DLPARCEL	Direct Link Merchandise Mail Plus Parcel	*	*
DL	Direct Link	DLMAILRETURN	Direct Link Merchandise Mail Return	*	*
DPDEE	DPD Estland	DPDEECLASSIC	DPD Classic (Estland)	EE	EE, LT, LV
DPDEE	DPD Estland	DPDEENEXTDAY	DPD Express Next-day (Estland)	EE	EE, LT, LV
DPDEE	DPD Estland	DPDEESAMEDAY	DPD Express Same-day (Estland)	EE	EE
DPDEE	DPD Estland	DPDEEPICKUP	DPD Pickup (Estland)	EE	EE
DPDEE	DPD Estland	DPDEEPICKUPRETURN	DPD Pickup Return (Estland)	EE	EE
DPDEE	DPD Estland	DPDEEPRIVATE	DPD Private (Estland)	EE	EE, LT, LV
DPDNL	DPD Nederländerna	DPDNL	DPD Classic (Nederländerna)	NL	*
DPDNL	DPD Nederländerna	DPDNLHOME	DPD Home	NL	*
DPDNL	DPD Nederländerna	DPDNLPSD	DPD ParcelShop Delivery	NL	*
DPDNL	DPD Nederländerna	DPDNLPSDRET	DPD ParcelShop Delivery Return	NL	*
DPDNO	DPD Norge	DPDNO	DPD Norge Standard/Export	NO	*
DSVD	DSV Road (inrikes)	DSVDINNIGHT	DSV InNight	SE	SE
DSVD	DSV Road (inrikes)	DSVDMYPACK	DSV MyPack	SE	SE
DSVD	DSV Road (inrikes)	DSVDMYPACKRETURN	DSV MyPack Return	SE	SE
DSVD	DSV Road (inrikes)	DSVDEPL	DSV Road e-pallet	SE	SE
DSVD	DSV Road (inrikes)	DSVDEPCL	DSV Road e-parcel	SE	SE
DSVD	DSV Road (inrikes)	DSVDECO	DSV Road ECO	SE	SE
DSVD	DSV Road (inrikes)	DSVDF10	DSV Road F10	SE	SE
DSVD	DSV Road (inrikes)	DSVDPG	DSV Road Partigods	SE	SE
DSVD	DSV Road (inrikes)	DSVDSG	DSV Road Styckegods	SE	SE
DSVDK	DSV Danmark	DSVDKPCL	DSV Parcel	DK, SE	*
DSVDK	DSV Danmark	DSVDKFULL	DSV Road Full load	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVDK	DSV Danmark	DSVDKPART	DSV Road Part load	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVDK	DSV Danmark	DSVDKGRP	DSV Road Stykgods	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVFI	DSV Finland	DSVFIGRP	DSV Road Kappaletavara	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA, VA	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA, VA
DSVFI	DSV Finland	DSVFIFULL	DSV Road Osakuorma	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA, VA	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA, VA
DSVI	DSV Road (utrikes)	DSVIDAILY	DSV Road Daily	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
