AGILITY	Agility	AGILITYROAD	Agility Road	SE	*
DSVI	DSV Road (utrikes)	DSVIECO	DSV Road ECO	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
DSVI	DSV Road (utrikes)	DSVIPG	DSV Road Partigods	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
DSVI	DSV Road (utrikes)	DSVISCHEDULE	DSV Road Schedule	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
DSVI	DSV Road (utrikes)	DSVISG	DSV Road Styckegods	SE	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
DSVNO	DSV Road Norge	DSVNODPG	DSV Road Norge Partigods (inrikes)	NO	NO
DSVNO	DSV Road Norge	DSVNOIPG	DSV Road Norge Partigods (utrikes)	NO	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
DSVNO	DSV Road Norge	DSVNODSGS	DSV Road Norge Partigods Specialfrakt (inrikes)	NO	NO
DSVNO	DSV Road Norge	DSVNODSG	DSV Road Norge Styckegods (inrikes)	NO	NO
DSVNO	DSV Road Norge	DSVNOISG	DSV Road Norge Styckegods (utrikes)	NO	AD, AE, AF, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, ST, SV, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, ZA, ZM, ZW
DTPG	PostNord Logistics AS (Norge)	P42NO	PostNord Logistics Express Next Day (Norge)	NO	NO
DTPG	PostNord Logistics AS (Norge)	DTPGAIR	PostNord Logistics Flyg (Norge)	DK, FI, NO, SE	NO
DTPG	PostNord Logistics AS (Norge)	DTPGIN	PostNord Logistics InNight (Norge)	DK, FI, NO, SE	NO
DTPG	PostNord Logistics AS (Norge)	DTPGSG	PostNord NO Groupage	NO	NO, SE
DTPG	PostNord Logistics AS (Norge)	P19NO	PostNord NO MyPack Collect	NO	DK, FI, NO, SE
DTPG	PostNord Logistics AS (Norge)	DTPGHD	PostNord NO MyPack Home	NO	NO
DTPG	PostNord Logistics AS (Norge)	P72NO	PostNord NO MyPack Home Small	NO	NO
DTPG	PostNord Logistics AS (Norge)	DTPG52	PostNord NO Pallet	NO	*
DTPG	PostNord Logistics AS (Norge)	DTPGPF	PostNord NO PartLoads	DK, NO, SE	NO
DTPG	PostNord Logistics AS (Norge)	P24NO	PostNord NO Return Drop Off	NO	NO
EarlyBird	Early Bird	EBEXP	Early Bird Express	SE	SE
EarlyBird	Early Bird	EBHD	Early Bird Home Delivery	SE	SE
EarlyBird	Early Bird	EBLOCAL	Early Bird Local	SE	SE
EarlyBird	Early Bird	MTDSTD	Early Bird Paket & Pall till Företag	SE	SE
EarlyBird	Early Bird	EBSTD	Early Bird Standard	SE	SE
EarlyBird	Early Bird	EBPOST	Early Bird Postlådeleverans	SE	SE
EarlyBird	Early Bird	EBRETURN	Early Bird Return	SE	SE
FEDEX	FedEx	FDXIED	FedEx International Economy (Docs)	*	*
FEDEX	FedEx	FDXIEP	FedEx International Economy (Non Docs)	*	*
FEDEX	FedEx	FDXIEF	FedEx International Economy Freight	*	*
FEDEX	FedEx	FDXIPD	FedEx International Priority (Docs)	*	*
FEDEX	FedEx	FDXIPP	FedEx International Priority (Non Docs)	*	*
FEDEX	FedEx	FDXIPF	FedEx International Priority Freight	*	*
FENNOROAD	FennoRoad Oy	FENNOROADSTD	FennoRoad Kotimaan Rahti 	AX, FI	AX, FI
FREE	Neutral transportör	FREEB	Neutral Brev	DK, FI, NO, SE	*
FREE	Neutral transportör	FREEG	Neutral Gods	*	*
FREE	Neutral transportör	FREEP	Neutral Paket	*	*
FRKO	Fraktkompaniet	FRKOSTD	Fraktkompaniet	*	*
FTLDK	Freja Transport & Logistics A/S	FTLDKSTD	Freja Transport & Logistics A/S	*	*
FTLSE	Freja Transport & Logistics AB	FTLSESTD	Freja Transport & Logistics AB	*	*
GLS	General Logistics Systems	GLSBPALL	GLS Business-Pallet	DK	DK
GLS	General Logistics Systems	GLSA	GLS Business-Parcel	DK	DK
GLS	General Logistics Systems	GLSEBP	GLS Euro Business-Parcel	DK	AD, AT, BA, BE, BG, BY, CH, CS, CY, CZ, DE, EE, ES, FI, FO, FR, GB, GE, GI, GL, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, UA, VA
GLS	General Logistics Systems	GLSGBP	GLS Global Business-Parcel	DK, SE	AE, AF, AG, AI, AM, AN, AO, AR, AS, AU, AW, AZ, BB, BD, BF, BH, BI, BJ, BM:BT, BN, BO, BR, BS, BW, BZ, CA, CD, CF, CG, CI, CK, CL, CM, CN, CO, CR, CV, DJ, DM, DO, DZ, EC, EG, ER, ET, FJ, GA, GD, GF, GM, GN, GP, GQ, GT, GU, GW, GY, HK, HN, HT, ID, IL, IN, IQ, IR, JM, JO, JP, KE, KG, KH, KR, KW, KY, KZ, LA, LB, LK, LR:LY, LS, MA, MG, ML, MM, MN, MO, MQ, MR, MS, MU, MV, MW, MX, MY, MZ:OM, NA, NC, NE, NG, NI, NP, NZ, PA, PE, PF, PG, PH, PK, PR, PS, PY, QA, RW, SA, SC, SD, SG, SL, SN, SO, SR, SV, SY, TD, TH, TL, TM, TN, TR, TT, TW, TZ, UG, US, UY, UZ, VE, VG, VI, VN, WS, YE, ZA, ZM, ZW
GLS	General Logistics Systems	GLSR	GLS Pick & Return	DK	DK
GLS	General Logistics Systems	GLSSHIP	GLS Pick & Ship	DK	DK
GLS	General Logistics Systems	GLSESDSPALL	GLS Sameday Solution Pallet	DK	DK
GLS	General Logistics Systems	GLSESDS16	GLS Sameday Solution Parcel	DK	DK
GLS	General Logistics Systems	GLSSAMEDAYPR	GLS Sameday Solution Pick & Return	DK	DK
GLS	General Logistics Systems	GLSSAMEDAYPS	GLS Sameday Solution Pick & Ship	DK	DK
GLS	General Logistics Systems	GLSPS	GLS ShopDelivery	DK	DK
GLS	General Logistics Systems	GLSPSR	GLS ShopReturn	DK	DK
GLSFI	GLS Finland	GLSFIEBF	GLS Finland Euro Business Freight	AX, FI	AN, AT, BE, CH, CZ, DE, DK, EE, ES, FR, GB, HR, HU, IE, IT, LI, LT, LU, LV, NL, NO, PL, PT, SE, SI, SK, SM, VA
GLSFI	GLS Finland	GLSFIEBP	GLS Finland Euro Business Parcel	AX, FI	AD, AN, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FR, GB, GI, GR, HR, HU, IE, IT, LI, LT, LU, LV, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, SP, UA, VA
GLSFI	GLS Finland	GLSFIEBPDOM	GLS Finland Euro Business Parcel	AX, FI	AX, FI
GLSFI	GLS Finland	GLSFIGBP	GLS Finland Global Business Parcel	AX, FI	AE, AI, AL, AM, AQ, AR, AS, AU, AW, AZ, BD, BF, BH, BI, BJ, BN, BO, BR, BV, BX, BY, BZ, CA, CC, CD, CG, CI, CK, CL, CM, CN, CO, CR, CV, CX, DJ, DM, DO, DZ, EC, EG, EH, ER, ET, FJ, FM, FO, GA, GD, GE, GF, GH, GL, GM, GN, GP, GS, GT, GU, GY, HK, HM, HN, HT, ID, IL, IN, IO, IQ, JM, JO, JP, KE, KG, KH, KN, KR, KW, KY, KZ, LA, LB, LC, LK, LR, LS, LY, MA, MB, MC, MD, MG, MH, MK, ML, MN, MO, MP, MQ, MR, MS, MU, MV, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NP, NZ, OM, PA, PE, PF, PG, PH, PK, PN, PR, PS, PW, PY, QA, RE, RU, RW, SA, SC, SG, SJ, SN, SR, SV, SZ, TC, TD, TF, TG, TH, TL, TN, TO, TT, TW, TZ, UG, UM, US, UY, UZ, VC, VE, VI, VN, VU, WF, WS, XC, YE, YU, ZA, ZM, ZW
GLSFI	GLS Finland	GLSFIGEP	GLS Finland Global Express Parcel	AX, FI	AD, AE, AI, AL, AM, AN, AQ, AR, AS, AT, AU, AW, AZ, BA, BD, BE, BF, BG, BH, BI, BJ, BN, BO, BR, BV, BX, BY, BZ, CA, CC, CD, CG, CH, CI, CK, CL, CM, CN, CO, CR, CV, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FJ, FM, FO, FR, GA, GB, GD, GE, GF, GH, GI, GL, GM, GN, GP, GR, GS, GT, GU, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IN, IO, IQ, IS, IT, JM, JO, JP, KE, KG, KH, KN, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MB, MC, MD, MG, MH, MK, ML, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SC, SE, SG, SI, SJ, SK, SM, SN, SP, SR, SV, SZ, TC, TD, TF, TG, TH, TL, TN, TO, TR, TT, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VI, VN, VU, WF, WS, XC, YE, YU, ZA, ZM, ZW
GLSPL	GLS Polen	GLSPLA	GLS Business-Parcel	PL	PL
GLSPL	GLS Polen	GLSPLEBP	GLS Euro Business-Parcel	PL	AD, AT, BA, BE, BG, BY, CH, CS, CY, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GE, GI, GL, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, MD, ME, MK, MT, NL, NO, PT, RO, RS, RU, SE, SI, SK, SM, UA, VA
GLSPL	GLS Polen	GLSPLR	GLS Pick & Return	PL	PL
HH	helthjem	HH72	helthjem	NO	NO
HH	helthjem	HH5	helthjem - abonnement	NO	NO
HH	helthjem	HH11	helthjem - ekspress	NO	NO
HH	helthjem	HH19	helthjem - hent i butikk	NO	NO
HH	helthjem	HH32	helthjem - personlig hjemlevering	NO	NO
HH	helthjem	HH24	helthjem - retur hent i butikk	NO	NO
HH	helthjem	HH1	helthjem - standard	NO	NO
HH	helthjem	HH83	helthjem - stykkgods	NO	NO, SE
HIT	PostNord InNight	HCONDID	Consolidation ID	*	*
HIT	PostNord InNight	H58	PostNord Forwarding	DK, FI, NO, SE	*
HIT	PostNord InNight	H48	PostNord InNight	DK, FI, NO, SE	AT, AU, AX, BE, BG, BY, CA, CH, CN, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HK, HR, HU, ID, IE, IM, IN, IT, JE, JP, KR, LT, LU, LV, ME, MY, NL, NO, NZ, PH, PL, PT, RO, RS, RU, SE, SG, SI, SK, SL, TH, TR, TW, UA, US
HIT	PostNord InNight	H49R	PostNord InNight Reverse	AT, AU, AX, BE, BG, BY, CA, CH, CN, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HK, HR, HU, ID, IE, IM, IN, IT, JE, JP, KR, LT, LU, LV, ME, MY, NL, NO, NZ, PH, PL, PT, RO, RS, RU, SE, SG, SI, SK, SL, TH, TR, TW, UA, US	AT, AU, AX, BE, BG, BY, CA, CH, CN, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HK, HR, HU, ID, IE, IM, IN, IT, JE, JP, KR, LT, LU, LV, ME, MY, NL, NO, NZ, PH, PL, PT, RO, RS, RU, SE, SG, SI, SK, SL, TH, TR, TW, UA, US
HIT	PostNord InNight	H69	PostNord Systemtransporter	DK, EE, FI, LI, LV, NO, SE	DK, EE, FI, LI, LV, NO, SE
HRX	HRX	HRXSTD	HRX	EE, FI, LT, LV, PL	*
IDRBUD	Idrottsbudet AB	IDRBUDEX	Idrottsbudet Paket Express	*	*
IDRBUD	Idrottsbudet AB	IDRBUDSE	Idrottsbudet Styckegods Sverige	SE	SE
IDRBUD	Idrottsbudet AB	IDRBUDI	Idrottsbudet Styckegods Utrikes	SE	*, AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SI, SK
INSTABOX	Instabox	INSTABOXSTD	Instabox	SE	SE
INSTABOX	Instabox	INSTABOXEXP	Instabox Express	SE	SE
INSTABOX	Instabox	INSTABOXINX	Instabox INX	SE	SE
ITELLALOG	Posti Oy, Inrikes frakt	POF1	Posti - Frakt	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF21	Posti - Frakt Hemutdelning	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF6044	Posti - Livsmedel Direkt, frys	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF6043	Posti - Livsmedel Direkt, kyl	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF6042	Posti - Livsmedel Frys -18	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF6040	Posti - Livsmedel Kallt 0 - +3	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF6041	Posti - Livsmedel Kyl +2 - +6	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POF6045	Posti - Livsmedel Varm	AX, FI	AX, FI
ITELLALOG	Posti Oy, Inrikes frakt	POV1	Posti - Veine-tjänster	AX, FI	AX, FI
ICA	ICA Paket	ICAPAK	ICA Paket	SE	SE
JB	Jetpak Borg	JBSTD	Jetpak Borg	NO, SE	NO
JETPAK	Jetpak	JETPAK	Jetpak	NO, SE	DK, FI, NO, SE
JETPAK	Jetpak	JETPAKTODAY	Jetpak Idag	NO, SE	DK, FI, NO, SE
JETPAK	Jetpak	JETPAKDAY	Jetpak Imorgon Dag	NO, SE	DK, FI, NO, SE
JETPAK	Jetpak	JETPAKEVN	Jetpak Imorgon Kväll	NO, SE	DK, FI, NO, SE
JETPAK	Jetpak	JETPAKMORNING	Jetpak Imorgon Morgon	NO, SE	DK, FI, NO, SE
KK	Kaukokiito	KKSTD	Kaukokiito	AX, FI, SE	AX, FI, SE
KL	DB SCHENKER inrikes	KLGRP	DB SCHENKER inrikes	FI	AX, FI
KORSU	Korsu Oy	KORSUSTD	Korsu Oy	FI	FI, NO, SE
KSK	KSK Logistiikka & Infra Oy	KSKLOG	KSK Logistiikka & Infra Oy	FI	FI
KUEHNENAGEL	Oy Kuehne + Nagel Ltd	KUEHNENAGELAIR	KN Air	*, FI	*, FI
KUEHNENAGEL	Oy Kuehne + Nagel Ltd	KUEHNENAGELROAD	KN Overland	*, FI	*, FI
KULSIOY	Kuljetuspalvelut Sirén Oy	SIKU	Sirén Kuljetuspalvelut	AX, FI	AX, FI
LAH	Lähettiläs	LAHSTD	Lähettiläs	FI	FI
LAKU	Läänin Kuljetus Oy	LAKUSTD	Läänin Kuljetus	FI	FI
LATA	Lahden Tavarataksit Oy	LATASTD	Lahden Tavarataksit	FI	FI
LP	Lehtipiste Oy	LPPIKA	Lehtipiste Pika	FI	FI
LP	Lehtipiste Oy	LPPAIVA	Lehtipiste Päivä	FI	FI
LP	Lehtipiste Oy	LPRUNKO	Lehtipiste Runko	FI	FI
MH	Matkahuolto	MH68	Matkahuolto Ahvenanmaan Jakopaketti	FI	AX
MH	Matkahuolto	MH10	Matkahuolto Bussipaketti	AX, FI, SE	AX, FI
MH	Matkahuolto	MH3050	Matkahuolto Jakopaketti/Paikallispaketti	AX, FI, SE	FI
MH	Matkahuolto	MH57	Matkahuolto Lavarahti	FI, SE	FI
MH	Matkahuolto	MH81	Matkahuolto Lähellä-paketin palautus	FI	FI
MH	Matkahuolto	MH80	Matkahuolto Lähellä-paketti	AX, FI	AX, FI
MH	Matkahuolto	MH80TEMP	Matkahuolto Lämpösäädelty	FI	FI
MH	Matkahuolto	MH75	Matkahuolto Mannermaan Jakopaketti	AX	FI
MH	Matkahuolto	MH74	Matkahuolto Mannermaan Paketti	AX	FI
MH	Matkahuolto	MH20	Matkahuolto Pikapaketti	FI	FI
MH	Matkahuolto	MH82	Matkahuolto Postaalipaketti	FI	FI
MH	Matkahuolto	MH83	Matkahuolto Postaalipaketti palautus	FI	FI
MH	Matkahuolto	MH40	Matkahuolto Rahtipussi	FI	FI
MH	Matkahuolto	MH96	Matkahuolto Ulkomaan Jakopaketti	FI	EE, LT, LV
MTD	MTD	MTDSTD	MTD Paket & Pall till Företag	SE	SE
MTD	MTD	MTDPLP	MTD Postlådepaket	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT2	Närkefrakt - Pall KM (2)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT22	Närkefrakt - Pall KM (22)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT12	Närkefrakt - Pnr Pall (12)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT32	Närkefrakt - Pnr Pall (32)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT11	Närkefrakt - Pnr Stycke & Parti (11)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT31	Närkefrakt - Pnr Stycke & Parti (31)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT1	Närkefrakt - Stycke & Parti KM (1)	SE	SE
NARKEFRAKT	Närkefrakt	NARKEFRAKT21	Närkefrakt - Stycke & Parti KM (21)	SE	SE
NTEX	NTEX	NTEXROAD	NTEX Road	*	*
OL	Ontime Logistics	OLDAILY	Ontime Logistics Daily	*	*
OL	Ontime Logistics	OLEXPR	Ontime Logistics Express	*	*
