AGILITY	Agility	AGILITYROAD	Agility Road	SE	*
PLSCM	PostNord Oy	P17FIDPD	PostNord MyPack Home	FI	AT, BE, CH, CZ, DE, EE, ES, FR, GB, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, SI, SK
PLSCM	PostNord Oy	P24FIDPD	PostNord Return Drop Off	FI	AT, BE, DE, EE, ES, FR, GB, LT, LU, LV, NL
PLSCM	PostNord Oy	P52FI	PostNord PALL.ETT (Finland)	AX, FI	AT, AX, BA, BE, BG, BY, CH, CZ, DE, DK, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LU, ME, MK, NL, NO, PT, RO, RS, SE, SI, SK, TR, UA
PLSCM	PostNord Oy	P52FIDPD	PostNord PALL.ETT (Finland)	FI	EE, LT, LV, PL
PLSCM	PostNord Oy	P18FI	PostNord Parcel FI	FI	AX, DK, FI, FO, GL, IS, NO, SE, SJ
PLSCM	PostNord Oy	P18FIDPD	PostNord Parcel FI	FI	AT, BA, BE, BG, CH, CZ, DE, EE, ES, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MC, NL, PL, PT, RO, RS, SI, SK, UA, VA
PLSCM	PostNord Oy	P24FI	PostNord Return Drop Off	FI	AX, DK, FI, NO, SE
PNL	Bring Parcels AB	PNL336	Bring Business Pallet	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HU, IE, IS, IT, LT, LU, LV, NL, NO, PL, PT, SE, SI, SK
PNL	Bring Parcels AB	PNL330	Bring Business Parcel	DK, FI, SE	*
PNL	Bring Parcels AB	PNL332	Bring Business Parcel Bulk	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GG, GR, HR, HU, IE, IM, IS, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	DE, DK, EE, FI, FO, GB, GG, IM, IS, JE, NL, NO, SE
PNL	Bring Parcels AB	PNL331	Bring Business Parcel Return	DK, FI, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL333	Bring Business Parcel Return Bulk	DK, FI, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNLWAY	Bring CarryOn Waybill	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	*
PNL	Bring Parcels AB	PNL335	Bring Express Nordic 09:00	SE	SE
PNL	Bring Parcels AB	PNL334	Bring Express Nordic 09:00 Bulk	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	NO, SE
PNL	Bring Parcels AB	PNL339	Bring Express Nordic 09:00 Pallet	SE	SE
PNL	Bring Parcels AB	PNL349	Bring Home Delivery Parcel	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL348	Bring Home Delivery Parcel Return	DK, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL340	Bring PickUp Parcel	DK, FI, SE	*
PNL	Bring Parcels AB	PNL342	Bring PickUp Parcel Bulk	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK	DE, DK, EE, FI, FO, GB, IS, NL, NO, SE
PNL	Bring Parcels AB	PNL341	Bring PickUp Parcel Return	DK, FI, SE	DK, FI, NO, SE
PNL	Bring Parcels AB	PNL343	Bring PickUp Parcel Return Bulk	DK, FI, SE	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO336	Bring Business Pallet	NO	AT, AX, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GI, GR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK
PNLNO	Bring Parcels Norge (utrikes)	PNLNO330	Bring Business Parcel	NO	AR, AT, AU, AX, BE, BG, BR, BY, CA, CH, CL, CN, CU, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HK, HR, HU, ID, IE, IN, IS, IT, JP, KR, LT, LU, LV, MC, ME, MT, MY, NL, NZ, PH, PL, PT, RO, RS, RU, SA, SE, SG, SI, SK, TH, TR, TW, UA, US, ZA
PNLNO	Bring Parcels Norge (utrikes)	PNLNO332	Bring Business Parcel Bulk	NO	DE, DK, EE, FI, FO, GB, GG, IM, IS, JE, NL, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO331	Bring Business Parcel Return	NO	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO333	Bring Business Parcel Return Bulk	NO	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNOWAY	Bring CarryOn Waybill	NO	*
PNLNO	Bring Parcels Norge (utrikes)	PNLNO334	Bring Express Nordic 09:00 Bulk	NO	SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO349	Bring Home Delivery Parcel	NO	DK, FI, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO340	Bring PickUp Parcel	NO	AT, BE, CH, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GL, GR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK, US
PNLNO	Bring Parcels Norge (utrikes)	PNLNO342	Bring PickUp Parcel Bulk	NO	DE, DK, EE, FI, FO, GB, IS, NL, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO341	Bring PickUp Parcel Return	NO	DK, FI, NO, SE
PNLNO	Bring Parcels Norge (utrikes)	PNLNO343	Bring PickUp Parcel Return Bulk	NO	DK, FI, NO, SE
POSTI	Posti Oy, Paket och transportenheter	PO5006	Posti - Assurerad försändelse	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO5004	Posti - Brev med mottagningsbevis	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO5002	Posti - Economy-brev med postförskott	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2017	Posti - EMS	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	PO2017D	Posti - EMS DocPack	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	PO5001	Posti - Express brev	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	ITKY14I	Posti - Express Business Day pallet (Utrikes)	DK, EE, FI, LT, LV, NO, PL, SE	DK, EE, FI, LT, LV, NO, PL, SE
POSTI	Posti Oy, Paket och transportenheter	IT14I	Posti - Express Business Day parcel (Utrikes)	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK
POSTI	Posti Oy, Paket och transportenheter	PO2144	Posti - Expressfrakt	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2102	Posti - Expresspaket	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2115	Posti - Food Delivery Locker	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2104	Posti - Hempaket	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2114	Posti - Mattransport	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2431	Posti - Måltidstransport	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2411	Posti - Måltidstransport hem	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2711	Posti - Parcel Connect	BG, DK, EE, ES, FI, HU, LT, LV, PT, SI	AT, BE, BG, CZ, DE, DK, EE, ES, FI, HU, LT, LU, LV, NL, PL, PT, SE, SI, SK
POSTI	Posti Oy, Paket och transportenheter	PO2751	Posti - Parcel Connect Self Service	BG, DK, EE, ES, FI, HU, LT, LV, PT, SI	AT, BE, BG, CZ, DE, DK, EE, ES, FI, HU, LT, LU, LV, NL, PL, PT, SE, SI, SK
POSTI	Posti Oy, Paket och transportenheter	PO2718	Posti - Parcel Return Connect	BG, DK, EE, ES, FI, HU, LT, LV, PT, SI	AT, BE, BG, CZ, DE, DK, EE, ES, FI, HU, LT, LU, LV, NL, PL, PT, SE, SI, SK
POSTI	Posti Oy, Paket och transportenheter	PO2103	Posti - Postpaket	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	ITPR	Posti - Priority Parcel	FI	 !FI, *
POSTI	Posti Oy, Paket och transportenheter	PO5007	Posti - Priority-brev med postförskott	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO5041	Posti - Prov försändelse	FI	FI
POSTI	Posti Oy, Paket och transportenheter	PO2401	Posti - Regional avtalstransport	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO5003	Posti - Rekommenderat brev	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	PO2108	Posti - Retur	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2027SS	Posti - Self-service Priority paket	FI	 !FI, *
POSTI	Posti Oy, Paket och transportenheter	PO5003SS	Posti - Self-service Rekommenderat brev	AX, FI	*
POSTI	Posti Oy, Paket och transportenheter	PO2185SS	Posti - Självbestämningpaket S-XL	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2190SS	Posti - Självbestämningpaket XXL	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2191SS	Posti - Självbestämningpaket XXL Plus	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2189SS	Posti - Självbestämningpaket XXS	AX, FI	AX, FI
POSTI	Posti Oy, Paket och transportenheter	PO2106	Posti - SmartPOST Viro	EE, FI	EE, FI
POSTI	Posti Oy, Paket och transportenheter	PO2461	Posti - Småpaket	AX, FI	AX, FI
PPDK	Privpak Danmark	PPDKRET	Privpak Danmark (retur)	DK, SE	DK
PPDK	Privpak Danmark	PPDKSTD	Privpak Danmark (tur)	DK, SE	DK
PPFI	Privpak Finland	PPFITRRET	Privpak Finland (tur & retur)	FI, SE	FI
PPFI	Privpak Finland	PPFITR	Privpak Finland (tur)	FI, SE	FI
ROYALMAIL	Royal Mail	ROYALMAIL24T	Royal Mail Tracked 24	GB	GB
ROYALMAIL	Royal Mail	ROYALMAIL48TR	Royal Mail Tracked Returns 48	GB	GB
RP	R & P Kuljetus Oy	RPPP	R & P Kuljetus Pakettipalvelu	FI	AT, AX, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
SBTL	DB Schenker	BCFPL	DB Schenker Home Delivery Poland Small	PL	PL
SBTL	DB Schenker	BCSI	DB SCHENKERcoldsped - Europa	SE	*
SBTL	DB Schenker	BCS	DB SCHENKERcoldsped - Sverige	SE	SE
SBTL	DB Schenker	BDI	DB SCHENKERdirect	SE	AD, AL, AT, AX, BA, BE, BG, BY, CH, CS, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MA, MC, MD, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TN, TR, UA
SBTL	DB Schenker	BFL	DB SCHENKERflow	SE	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HU, IE, IM, IT, JE, LT, LV, NL, NO, PL, PT, RO, SI, SK
SBTL	DB Schenker	BPALL	DB SCHENKERpallet	SE	SE
SBTL	DB Schenker	BPA	DB SCHENKERparcel	SE	AD, AE, AG, AI, AL, AM, AN, AO, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BM, BN, BO, BR, BS, BT, BW, BY, BZ, CA, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CS, CV, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ER, ES, ET, FI, FJ, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GT, GU, GY, HK, HN, HR, HT, HU, ID, IE, IL, IM, IN, IQ, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MG, MH, MK, ML, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NG, NI, NL, NO, NP, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SE, SG, SI, SK, SL, SM, SN, SR, SV, SY, SZ, TC, TD, TG, TH, TJ, TL, TN, TO, TR, TT, TV, TW, TZ, UA, UG, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW
SBTL	DB Schenker	BPHDAP	DB SCHENKERparcel Hem dag med kvittens (Paket)	SE	SE
SBTL	DB Schenker	BPHDP	DB SCHENKERparcel Hem dag utan kvittens	SE	SE
SBTL	DB Schenker	BPHKAP	DB SCHENKERparcel Hem kväll med kvittens	SE	SE
SBTL	DB Schenker	BLP	DB SCHENKERparcel Logistikpaket	SE	SE
SBTL	DB Schenker	BHP	DB SCHENKERparcel Ombud (1 kolli, <20 kg)	SE	SE
SBTL	DB Schenker	BPAR	DB SCHENKERparcel Ombud Retur	SE	SE
SBTL	DB Schenker	BCF	DB SCHENKERsystem	SE	AD, AL, AT, AX, BA, BE, BG, BY, CH, CS, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MA, MC, MD, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TN, TR, UA
SBTL	DB Schenker	BCFPREMIUM	DB SCHENKERsystem Premium	SE	AD, AL, AT, AX, BA, BE, BG, BY, CH, CS, CZ, DE, DK, EE, ES, FI, FR, GB, GG, GR, HR, HU, IE, IM, IT, JE, LI, LT, LU, LV, MA, MC, MD, ME, MK, NL, NO, PL, PT, RO, RS, RU, SI, SK, SM, TN, TR, UA
SBTL	DB Schenker	BPOSG	DB SCHENKERsystem Terminalombud	SE	SE
SBTLAO	DB SCHENKER Air & Ocean	SBTLOCEAN	DB SCHENKER Air & Ocean - Enkel Sjöfrakt 	SE	AE, AR, AU, BD, BH, BN, BR, CA, CL, CM, CN, CO, CR, CU, CY, DJ, DO, DZ, EC, EG, ES, ET, GF, GH, GP, GT, GU, HK, HN, HT, ID, IL, IN, IQ, IS, JO, JP, KE, KH, KR, KW, LB, LK, MA, MM, MO, MQ, MT, MU, MV, MX, MY, NA, NG, NI, NZ, OM, PA, PE, PH, PK, PR, PY, QA, RE, RU, SA, SG, SN, SV, SY, TH, TN, TR, TW, TZ, UG, US, UY, VE, VN, ZA, ZW
SBTLDK	DB Schenker Danmark 	SBTLDKDIR	DB SCHENKERdirect Danmark	DK	*
SBTLDK	DB Schenker Danmark 	SBTLDKFLW	DB SCHENKERflow Danmark	DK	*
SBTLDK	DB Schenker Danmark 	SBTLDKPAR	DB SCHENKERparcel Danmark	DK	*
SBTLDK	DB Schenker Danmark 	SBTLDKSYS	DB SCHENKERsystem Danmark	DK	*
SBTLDK	DB Schenker Danmark 	SBTLDKSYSPREMIUM	DB SCHENKERsystem premium Danmark	DK	*
SBTLFI	DB SCHENKER export	SBTLFISY	DB SCHENKER export	FI	AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK
SBTLFI	DB SCHENKER export	DBSSP	DB SCHENKERsystem premium	FI	AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, NO, PL, PT, RO, SE, SI, SK
SBTLFIEXP	DB SCHENKER Parcel – inrikes pakettjänster	SBTLFIEXP	DB SCHENKERparcel (Finland)	FI	FI
SBTLFIRREX	DB SCHENKER Parcel – Collection Point	SBTLFIRREX	DB SCHENKER Collection Point	FI	FI
SBTLNO	DB Schenker Norge	SBTLNODD	DB SCHENKER Norge Direkte Distribusjon	NO	NO
SBTLNO	DB Schenker Norge	SBTLNOPG	DB SCHENKER Norge Partigods	NO	NO
SBTLNO	DB Schenker Norge	SBTLNOPLUSRET	DB SCHENKER Norge Plusshenting	NO	NO
SBTLNO	DB Schenker Norge	SBTLNOPLWORK	DB SCHENKER Norge Privatlevering – på jobb	NO	NO
SBTLNO	DB Schenker Norge	SBTLNOPLHOME	DB SCHENKER Norge Privatlevering– hjem på dør	NO	NO
SBTLNO	DB Schenker Norge	SBTLNOSP	DB SCHENKER Norge Spesial	NO	NO
SBTLNO	DB Schenker Norge	SBTLNOSG	DB SCHENKER Norge Stykkgods	NO	NO
SBTLNOINT	DB Schenker Norge (utrikes)	SBTLNODIR	DB SCHENKER Norge Direct	NO	*
SBTLNOINT	DB Schenker Norge (utrikes)	SBTLNOFLOW	DB SCHENKER Norge Flow	NO	*
SBTLNOINT	DB Schenker Norge (utrikes)	SBTLNOSYS	DB SCHENKER Norge System	NO	*
SF	Småfrakt	SFDIR	Småfrakt Direkt	SE	SE
SF	Småfrakt	SFECO	Småfrakt Ekonomi	SE	SE
SF	Småfrakt	SF4H	Småfrakt Fyratimmars	SE	SE
SLBS	Skellefteå Lastbilsstation	SLBSLS	Lastbilsstation	SE	SE
SWIPBOX	Swipbox	SWIPBOXSTD	Swipbox Paket	DK, SE	DK
TIMECAP	Timecap Oy	TIMECAPSTD	Timecap Oy	FI	FI
TKLOG	TK Logistik	TKLOGGODS	TK Logistik Gods	SE	*
TNT	TNT	TNT08DOMD	TNT 08:00 Express (Domestic Docs)	DE	DE
TNT	TNT	TNT08DOMN	TNT 08:00 Express (Domestic Non Docs)	DE	DE
TNT	TNT	TNT09D	TNT 09:00 Express (Docs)	AX, DE, DK, EE, FI, LT, NO, SE	*
TNT	TNT	TNT09DOMD	TNT 09:00 Express (Domestic Docs)	DE, DK, SE	DE, DK, SE
TNT	TNT	TNT09DOMN	TNT 09:00 Express (Domestic Non Docs)	DE, DK, SE	DE, DK, SE
TNT	TNT	TNT09	TNT 09:00 Express (Domestic)	DK, SE	DK, SE
TNT	TNT	TNT09N	TNT 09:00 Express (Non Docs)	AX, DE, DK, EE, FI, LT, NO, SE	*
TNT	TNT	TNT10D	TNT 10:00 Express (Docs)	AX, DE, DK, EE, FI, LT, NO, SE	*
TNT	TNT	TNT10DOMD	TNT 10:00 Express (Domestic Docs)	DE, DK, SE	DE, DK, SE
TNT	TNT	TNT10DOMN	TNT 10:00 Express (Domestic Non Docs)	DE, DK, SE	DE, DK, SE
TNT	TNT	TNT10	TNT 10:00 Express (Domestic)	DK, SE	DK, SE
TNT	TNT	TNT10N	TNT 10:00 Express (Non Docs)	AX, DE, DK, EE, FI, LT, NO, SE	*
TNT	TNT	TNT412	TNT 12:00 Economy Express (Non Docs)	AX, DE, DK, EE, FI, LT, LV, NO, SE	*
TNT	TNT	TNT12D	TNT 12:00 Express (Docs)	AX, DE, DK, EE, FI, LT, NO, SE	*
TNT	TNT	TNT12DOMD	TNT 12:00 Express (Domestic Docs)	AX, DE, DK, FI, SE	AX, DE, DK, FI, SE
TNT	TNT	TNT12DOMN	TNT 12:00 Express (Domestic Non Docs)	AX, DE, DK, FI, SE	AX, DE, DK, FI, SE
TNT	TNT	TNT12	TNT 12:00 Express (Domestic)	AX, DK, FI, SE	AX, DK, FI, SE
TNT	TNT	TNT12N	TNT 12:00 Express (Non Docs)	AX, DE, DK, EE, FI, LT, NO, SE	*
TNT	TNT	TNT1P	TNT Direct Vehicle (Domestic Non Docs)	AX, DK, FI, NO, SE	AX, DK, FI, NO, SE
TNT	TNT	TNT48N	TNT Economy Express (Non Docs)	AX, DE, DK, EE, FI, LT, LV, NO, PL, SE	*
TNT	TNT	TNT15D	TNT Express (Docs)	AX, DE, DK, EE, FI, LT, NO, PL, SE	, *
TNT	TNT	TNT15DOMD	TNT Express (Domestic Docs)	AX, DE, DK, EE, FI, NO, PL, SE	AX, DE, DK, EE, FI, NO, PL, SE
TNT	TNT	TNT15DOMN	TNT Express (Domestic Non Docs)	AX, DE, DK, EE, FI, NO, PL, SE	AX, DE, DK, EE, FI, NO, PL, SE
TNT	TNT	TNT15	TNT Express (Domestic)	AX, DK, FI, NO, PL, SE	AX, DK, FI, NO, PL, SE
TNT	TNT	TNT15N	TNT Express (Non Docs)	AX, DE, DK, EE, FI, LT, NO, PL, SE	*
TNT	TNT	TNTDNE	TNT Innight Domestic	DK, NO, SE	DK, NO, SE
TNT	TNT	TNTDNI	TNT Innight IntraNordic	AX, DK, FI, NO, SE	*
TNT	TNT	TNT731	TNT Road Freight - LTL	AX, DK, FI, NO, SE	*
TNT	TNT	TNTSSD	TNT SDS (Docs)	DK, NO, SE	AX, DK, FI, NO, SE
TNT	TNT	TNTSS	TNT SDS (Domestic)	DK, NO, SE	DK, NO, SE
TNT	TNT	TNTSSN	TNT SDS (Non Docs)	DK, NO, SE	AX, DK, FI, NO, SE
TNT	TNT	TNT728	TNT Special Economy Express	AX, DK, FI, NO, SE	*
TP	Posti Oy, Styckegods (fd. VR Transpoint)	TPSTD	Posti - Logistics Oy, Styckegods	FI	FI
TRANSFARGO	Transfargo	TRANSFARGODOM	Transfargo inrikes	SE	SE
TRANSFARGO	Transfargo	TRANSFARGOINT	Transfargo utrikes	SE	*
TRANSMAR	Transmar	TRANSMARSTD	Transmar	AX, FI, SE	AX, FI, SE
TRANSPORTOREN	Transportören	TRANSPORTORENSTD	Transportören Inrikes	DK, FI, NO, SE	DK, FI, NO, SE
TYVIK	Tyvi Oy Kuljetusliike	KTYVI	Kuljetusliike Tyvi Oy	FI	FI
UPK	Uudenmaan Pikakuljetus Oy	UPKE	Uudenmaan Pikakuljetus Oy Erikoisaikataulu	FI	FI
UPK	Uudenmaan Pikakuljetus Oy	UPKK	Uudenmaan Pikakuljetus Oy Kotijakelu	FI	FI
UPK	Uudenmaan Pikakuljetus Oy	UPK24	Uudenmaan Pikakuljetus Oy Normal 24h	FI	FI
UPK	Uudenmaan Pikakuljetus Oy	UPK24A	Uudenmaan Pikakuljetus Oy Normal 24h AVI	FI	FI
UPS	UPS	UPSEXPDTD	UPS Expedited (Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPDTG	UPS Expedited (GNIFC)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPDTP	UPS Expedited (Non Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPD	UPS Express (Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPG	UPS Express (GNIFC)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPP	UPS Express (Non Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPPLUSD	UPS Express Plus (Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPPLUSG	UPS Express Plus (GNIFC)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSEXPPLUSP	UPS Express Plus (Non Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSSAVD	UPS Express Saver (Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSSAVG	UPS Express Saver (GNIFC)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSSAVP	UPS Express Saver (Non Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSSTDD	UPS Standard (Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
UPS	UPS	UPSSTDP	UPS Standard (Non Docs)	DE, DK, FI, GB, NL, NO, PL, SE	*
VAROVA	Varova Oy	VAROVASG	Varova Road	FI	*
VPP	Vognmand Poul Pedersen A/S	VPPSTD	Vognmand Poul Pedersen A/S	DK	DK
XPRESSEN	XPRESSEN	XPRSF	Xpressen Fødevare	DK	DK
XPRESSEN	XPRESSEN	XPRSPKT	Xpressen Pakke	DK	DK
XPRESSEN	XPRESSEN	XPRSPLT	Xpressen Palle	DK	DK
